job_id,title,company,location,experience,skills,summary,scraped_date,processed_skills,combined_text,cluster
quora_inc_principal_product_manager__growth_poe_re,"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,6-8 year,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",2025-05-24T16:37:38.678157,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL Principal Product Manager - Growth, Poe (Remote)",5
google_machine_learning_physical_design_engineer_b,Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India",4-6 year,"Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques","Minimum qualifications:Bachelor's degree in Electrical Engineering or a related field, or equivalent practical experience.4 years of experience with physical design flow such...",2025-05-24T16:37:38.678632,"Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques Machine Learning Physical Design Engineer",7
quora_inc_staff_software_engineer__monetization_po,"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,8-10 year,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",2025-05-24T16:37:38.679070,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript Staff Software Engineer - Monetization, Poe (Remote)",4
quora_inc_staff_backend_engineer__bot_creator_ecos,"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,8-10 year,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",2025-05-24T16:37:38.679511,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",1
quora_inc_senior_backend_engineer__bot_creator_eco,"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,6-8 year,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",2025-05-24T16:37:38.679960,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)",1
jpmorgan_chase_data_scientist_lead__aiml_bengaluru,Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India",6-8 year,"Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming","We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible.As a Lead AI/ML Engineer within our Asset and Wealth management, you...",2025-05-24T16:37:38.680393,"Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming Data Scientist Lead - AIML",2
jpmorgan_chase_applied_ai_ml_director__machine_lea,Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India",12-14 year,"Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques","Elevate your career as the Director of Machine Learning Engineering, where your technical expertise and visionary leadership will shape the future of AI and ML solutions.As a Director of...",2025-05-24T16:37:38.680812,"Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques Applied AI ML Director - Machine Learning",6
observeai_senior_product_designer_bangalore_karnat,Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Design,Leadership Skill,Machine learning techniques","Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...",2025-05-24T16:37:38.681254,"Design,Leadership Skill,Machine learning techniques","Design,Leadership Skill,Machine learning techniques Senior Product Designer",0
observeai_manager__machine_learning_bangalore_karn,Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)","Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...",2025-05-24T16:37:38.681667,"Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP) Manager - Machine Learning",2
spotify_data_scientist_mumbai_maharashtra_india,Data Scientist,Spotify,"Mumbai, Maharashtra, India",6-8 year,"Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",We are looking for a Data Scientist to join the Business Analytics team at Spotify. You will work with the Regional Analytics Lead to evaluate and influence our growth strategy in India’s...,2025-05-24T16:37:38.682083,"Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL Data Scientist",3
